28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:27.369Z,5,FALSE,1,1,390777.654654937,6674646.76287082
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:28.369Z,10,FALSE,1,1,390772.980508869,6674644.45076202
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:29.369Z,15,FALSE,1,1,390769.784202436,6674643.32035534
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:30.369Z,20,FALSE,1,1,390764.128845743,6674641.59472849
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:31.369Z,25,FALSE,1,1,390760.798401546,6674639.68827488
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:32.369Z,30,FALSE,1,1,390758.123195685,6674637.4279543
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:33.369Z,30,FALSE,1,1,390755.741776165,6674635.71605036
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:34.369Z,35,FALSE,5,5,390748.439929229,6674637.21900768
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:39.369Z,35,FALSE,1,1,390748.439929229,6674637.21900768
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:40.369Z,35,TRUE,13,13,390748.439929229,6674637.21900768
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:53.369Z,35,TRUE,1,1,390748.439929229,6674637.21900768
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:54.369Z,35,FALSE,1,1,390748.439929229,6674637.21900768
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:55.369Z,35,FALSE,1,1,390748.439929229,6674637.21900768
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:56.369Z,40,FALSE,1,1,390745.113922856,6674634.69607363
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:57.369Z,40,FALSE,1,1,390742.497461812,6674632.54544713
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:58.369Z,45,FALSE,1,1,390739.08497099,6674629.74996646
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:48:59.369Z,50,FALSE,1,1,390734.931881316,6674626.30797871
28b4f259226490dcb103dbfa3376c3dd,2020-09-23T16:49:00.369Z,55,FALSE,1,1,390729.780961401,6674622.89578831
